Absolute Value|abs(x)	x
RT FIFO Write|rt fifo	element	timeout in ms (0)	error in (no error)	overwrite on timeout (T)	# elements	rt fifo out	timed out?	error out
Scale By Power Of 2|x*2^n	x	n
Scan String For Tokens|token index	token string	offset past token	string out	use cached delim/oper data? (F)	allow empty tokens? (F)	delimiters (\s,\t,\r,\n)	operators (none)	offset	input string
Scan Value|value	output string	default (0 dbl)	format string	string
Search 1D Array|index of element	start index (0)	element	1D array
Search and Replace String|input string	replace all?	case sensitive?	multiline?	result string	search string	replace string	number of replacements	offset	offset past replacement	error in	error out
Search Variable Container|error out	refnum array out	container refnum out	access type	class	error in	data type	regular expression	container refnum in
Search/Split String|offset of match	match + rest of string	substring before match	offset (0)	search string/char (-)	string
Secant|1/cos(x)	x
Seconds To Date/Time|date time rec	to UTC (F)	time stamp (now)
Seek|error out	offset	dup refnum	error in	pos offset (0)	pos mode (0:2)	refnum
Select|s? t:f	f	s	t
Send|bus	address	mode	error in	data string	status	byte count	error out
Send Notification|notifier	notification	error in (no error)	notifier out	error out
SendCmds|error out	byte count	status	error in	command string	bus
SendDataBytes|error out	byte count	status	error in	data string	mode	bus
SendIFC|error out	status	error in	bus
SendList|bus	address list	mode	error in	data string	status	byte count	error out
SendLLO|error out	status	error in	bus
SendSetup|error out	status	error in	address list	bus
Session to Refnum|error out	Refnum	error in(no error)	Session	Class Type
Set Control Values by Index|VI Refnum	control indexes	data values	error in (no error)	error out
Set Datalog Position|error out	refnum out	error in	from (0:start)	offset (in records) (0)	refnum
Set File Position|error out	refnum out	error in	from (0:start)	offset (in bytes) (0)	refnum
Set File Size|error out	refnum out	error in	size (in bytes)	file
Set Menu Item Info|error out	menu reference out	short cut	checked	item tag	error in (no error)	enabled	item name	menu reference
Set Number of Records|error out	refnum out	error in	# of records	refnum
Set Occurrence|occurrence
Set Permissions|error out	path out	permissions	error in	new group	new owner	path
Set Type and Creator|error out	path out	error in	creator (no change)	type (no change)	path
Set Variant Attribute|error out	replaced	Variant out	error in	value	name	Variant
Set Waveform Attribute|error out	replaced	waveform out	error in	value	name	waveform
SetRWLS|error out	status	error in	address list	bus
SetTimeOut|previous timeout	new timeout (10000)
Shared Variable to String|string	Shared Variable
Sign|-1, 0, 1	number
Sinc|sin(x)/x	x
Sine|sin(x)	x
Sine & Cosine|x	sin(x)	cos(x)
Size Handle|handle	error	handle (-)	size
Sort 1D Array|sorted array	array
Sort Array of String|sorted array	array
Split 1D Array|second subarray	first subarray	index	array
Split Number|x	hi(x)	lo(x)
Spreadsheet String To Array|array	delimiter (Tab)	array type (2D Dbl)	spreadsheet string	format string
Square|x^2	x
Square Root|sqrt(x)	x
Start TLS|error out	server certificate chain	TLS connection	server certificate validation	timeout ms	error in (no error)	server hostname	immutable TLS configuration	TCP connection
Stop|stop? (T)
String Length|length	string
String Subset|substring	length (rest)	offset (0)	string
String To Byte Array|unsigned byte array	string
String To IP|net address	name
String To Path|path	string
String to Shared Variable|string	valid Shared Variable?	Shared Variable
Strip Path|path	stripped path	name
Subtract|x-y	y	x
Subtract (with error terminals)|x-y	y	x	error out	error in (no error)
Swap Bytes|byte swapped	anything
Swap Values| y'	 x'  	y	?(T)	x
Swap Vector Element|swapped element value	returned index	changed vector	element value	index	vector
Swap Words|word swapped	anything
Tangent|tan(x)	x
TCP Close Connection|error out	connection ID out	error in (no error)	abort (F)	connection ID
TCP Create Listener|error out	port	listener ID	net address	error in (no error)	timeout ms (25000)	port	service name
TCP Flattened Read|error out	data out	connection ID out	type	error in (no error)	timeout ms (25000)	connection ID
TCP Flattened Write|error out	connection ID out	error in (no error)	timeout ms (25000)	data in	connection ID
TCP Flex Read|error out	coerced?	data out	connection ID out	type	error in (no error)	timeout ms (25000)	connection ID
TCP Flex Write|error out	connection ID out	error in (no error)	timeout ms (25000)	data in	connection ID
TCP Open Connection|error out	connection ID	local port	error in (no error)	timeout ms (60000)	remote port or service name	address
TCP Read|error out	data out	connection ID out	mode (standard)	error in (no error)	timeout ms (25000)	bytes to read	connection ID
TCP Wait On Listener|error out	remote port	remote address	listener ID out	connection ID	error in (no error)	timeout ms (wait forever: -1)	resolve remote address (T)	listener ID in
TCP Write|error out	bytes written	connection ID out	error in (no error)	timeout ms (25000)	data in	connection ID
TDMS Advanced Asynchronous Read (Data Ref)|error out	tdms file out	read process finished?	auto delete reference? (T)	error in (no error)	data reference	tdms file
TDMS Advanced Asynchronous Write (Data Ref)|error out	tdms file out	auto delete reference? (T)	error in (no error)	data reference	tdms file
TDMS Close|error out	file path out	error in (no error)	tdms file
TDMS Configure Asynchronous Reads (Data Ref)|error out	tdms file out	timeout (5 s)	error in (no error)	total size (in bytes) (-1)	max asynchronous reads (4)	tdms file
TDMS Configure Asynchronous Writes (Data Ref)|error out	tdms file out	timeout (5 s)	error in (no error)	max asynchronous writes (4)	tdms file
TDMS Defragment|error out	object id	tdms file id	error in (no error)	channel name	group name	tdms file
TDMS Delete Data|error out	file path out	count (-1: all)	keep empty group/channel? (T)	from (0: start)	error in (no error)	channel name(s) in	group name in	file path
TDMS Flush|error out	tdms file out	error in (no error)	tdms file
TDMS Get Asynchronous Read Status (Data Ref)|error out	number of pending reads	tdms file out	error in (no error)	tdms file
TDMS Get Asynchronous Write Status (Data Ref)|error out	number of pending writes	tdms file out	error in (no error)	tdms file
TDMS Get Properties|error out	channel name out	group name out	tdms file out	property values	data type	property names	property name	error in (no error)	channel name	group name	tdms file
TDMS In Memory Close|error out	overwrite (F)	file path	error in (no error)	tdms file
TDMS In Memory Open|error out	tdms file out	error in (no error)	byte array or file path
TDMS In Memory Read Bytes|error out	data	tdms file out	byte count (-1: all)	offset (0)	error in (no error)	tdms file
TDMS List Contents|error out	group/channel names	group names	tdms file out	error in (no error)	group name	tdms file
TDMS Open|error out	tdms file out	create index file? (T)	disable buffering (T)	file format version (2.0)	error in (no error)	byte order (2:little-endian)	operation (0:open)	file path
TDMS Read|tdms file	offset (0)	count (-1: all)	tdms file out	group name in	group name out	channel name(s) in	channel name(s) out	data	error in (no error)	data type	return channels in file order? (F)	end of file?	error out
TDMS Refnum To File ID|error out	object id	tdms file id	error in (no error)	channel name	group name	tdms file
TDMS Set Properties|error out	channel name out	group name out	tdms file out	property values	property names	error in (no error)	channel name	group name	tdms file
TDMS Write|tdms file	data layout (0:decimated)	tdms file out	group name in (Untitled)	group name out	channel name(s) in (Untitled)	channel name(s) out	data	error in (no error)	error out
TDMS Write IP|tdms file	tdms file out	group name in	group name out	channel names in	channel names out	data	data out	error in (no error)	error out
Temporary Directory|path
TestSRQ|bus	error in	SRQ	status	error out
TestSys|bus	address list	error in	result list	status	failed devices	error out
Text to UTF-8|error out	utf-8 text	error in	encoding	text
Threshold 1D Array|fractional index or x	start index (0)	threshold y	array of numbers or points
Tick Count (ms)|millisecond timer value
TLS Connection?|TLS?	TCP connection
To Byte Integer|8bit integer	number
To Double Precision Complex|double precision complex	number
To Double Precision Float|double precision float	number
To Extended Precision Complex|extended precision complex	number
To Extended Precision Float|extended precision float	number
To Fixed-Point|number	fixed-point type	fixed-point
To Long Integer|32bit integer	number
To Lower Case|all lower case string	string
To More Generic Class|reference	target class	generic class reference
To More Specific Class|specific class reference	error out	target class	reference	error in
